	users (count)	users (count)	users (count)	users (count)	users (count)	users (count)	usage (percent)	usage (percent)	usage (percent)	usage (percent)	usage (percent)	usage (percent)
login node	1	2	3	4	5	6	1	2	3	4	5	6
2018-12-06 17:15 MST	118	69	94	54	67	96	53	22	18	8	9	15
2018-12-06 17:20 MST	111	46	89	74	68	85	27	24	25	10	7	20
2018-12-06 17:25 MST	111	48	90	74	67	86	24	24	25	9	6	23
2018-12-06 17:30 MST	110	47	88	73	67	86	25	20	27	8	4	19
2018-12-06 17:35 MST	112	47	87	72	68	88	27	17	27	8	5	14
2018-12-06 17:40 MST	111	48	89	71	67	86	27	19	29	9	6	17
2018-12-06 17:45 MST	111	47	90	72	66	84	26	17	28	10	7	19
2018-12-06 17:50 MST	112	48	90	3	67	85	29	16	30	13	7	17
2018-12-06 17:56 MST	109	49	87	4	65	84	30	15	30	16	7	16
2018-12-06 18:01 MST	106	49	87	5	64	84	28	13	26	12	6	14
2018-12-06 18:06 MST	108	48	87	9	62	82	30	14	22	9	6	13
2018-12-06 18:11 MST	108	48	87	9	62	82	32	14	25	9	7	12
2018-12-06 18:16 MST	105	43	85	9	63	81	34	14	26	10	7	14
2018-12-06 18:21 MST	102	43	86	10	62	82	31	14	28	6	7	15
2018-12-06 18:26 MST	101	42	85	11	60	81	33	14	28	7	6	11
2018-12-06 18:31 MST	100	41	86	11	59	80	30	14	29	6	5	10
2018-12-06 18:36 MST	100	42	83	12	58	79	33	15	28	5	4	11
2018-12-06 18:41 MST	98	41	83	12	59	76	31	13	30	4	4	12
2018-12-06 18:46 MST	98	40	82	14	56	75	30	13	26	3	7	12
2018-12-06 18:51 MST	98	40	82	17	58	74	29	12	26	2	10	12
2018-12-06 18:56 MST	97	40	82	17	58	75	29	12	29	2	9	10
2018-12-06 19:01 MST	97	40	81	16	57	74	30	12	25	2	10	14
2018-12-06 19:06 MST	97	39	78	16	58	74	29	12	19	2	8	11
2018-12-06 19:11 MST	96	39	78	15	58	73	29	12	18	2	9	10
2018-12-06 19:16 MST	93	39	78	16	56	70	28	15	18	3	8	10
2018-12-06 19:21 MST	93	37	78	17	56	70	29	14	18	5	9	10
2018-12-06 19:26 MST	91	34	75	18	57	69	30	12	16	5	8	10
2018-12-06 19:31 MST	89	33	74	17	57	68	30	12	18	5	7	10
2018-12-06 19:36 MST	90	33	75	15	57	67	29	12	19	5	8	10
2018-12-06 19:41 MST	89	33	74	16	57	67	30	12	17	5	8	13
2018-12-06 19:46 MST	89	33	73	18	58	68	30	13	20	3	11	11
2018-12-06 19:51 MST	89	33	74	19	59	67	30	13	22	5	12	11
2018-12-06 19:56 MST	88	32	74	21	60	68	32	14	23	3	12	10
2018-12-06 20:01 MST	88	32	76	21	58	69	33	12	22	4	10	13
2018-12-06 20:06 MST	89	32	78	21	57	69	34	12	23	3	8	13
2018-12-06 20:11 MST	89	33	78	23	57	73	31	12	24	4	8	13
2018-12-06 20:16 MST	89	33	78	22	59	73	31	12	26	6	7	13
2018-12-06 20:21 MST	90	33	78	23	58	71	30	12	27	6	11	14
2018-12-06 20:26 MST	87	31	80	25	56	70	28	12	24	7	13	14
2018-12-06 20:31 MST	87	33	77	25	55	69	29	12	25	5	17	16
2018-12-06 20:36 MST	88	33	76	23	56	69	30	13	23	5	15	16
2018-12-06 20:41 MST	88	33	77	24	55	70	31	12	25	5	10	15
2018-12-06 20:46 MST	88	33	76	24	54	70	30	13	24	4	6	14
2018-12-06 20:51 MST	87	32	76	24	56	69	28	12	22	5	7	14
2018-12-06 20:56 MST	87	31	73	23	55	69	25	11	18	6	7	20
2018-12-06 21:01 MST	86	32	73	23	55	69	25	12	17	5	8	24
2018-12-06 21:06 MST	86	33	75	23	54	69	25	16	16	5	9	22
2018-12-06 21:11 MST	86	33	76	22	54	66	24	15	17	4	12	25
2018-12-06 21:16 MST	85	33	75	23	54	66	26	15	17	5	13	22
2018-12-06 21:21 MST	87	34	76	24	54	67	31	14	18	6	13	20
2018-12-06 21:26 MST	87	34	77	24	53	68	29	15	17	6	14	19
2018-12-06 21:47 MST	84	32	76	21	51	68	27	16	22	2	12	19
2018-12-06 21:52 MST	85	31	76	21	48	68	25	15	21	2	12	17
2018-12-06 21:57 MST	85	31	73	21	49	68	24	16	18	1	10	19
2018-12-06 22:02 MST	83	30	72	21	47	69	23	16	18	2	10	19
2018-12-06 22:07 MST	83	30	74	23	47	69	23	17	18	2	7	18
